epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,23.2582,15403.0,1725.9102
3,22.905,15403.0,1741.5898
4,22.8518,15403.0,1744.4258
5,22.9207,15403.0,1744.8867
6,22.8277,15403.0,1746.8359
7,21.0869,15403.0,1752.6719
8,22.128,15403.0,1753.2656
9,22.853,15403.0,1746.8828
10,22.7926,15403.0,1746.8828
11,22.9664,15403.0,1746.8828
12,22.8459,15403.0,1751.5195
13,22.7472,15403.0,1753.5312
14,22.9077,15403.0,1754.3867
15,22.7979,15403.0,1754.0078
16,22.749,15403.0,1754.082
17,22.9012,15403.0,1754.0625
18,22.8422,15403.0,1753.9609
19,22.8358,15403.0,1754.125
20,23.1306,15403.0,1757.7344
21,23.0181,15403.0,1757.75
22,22.9151,15403.0,1754.1289
23,22.7602,15403.0,1753.3555
24,22.8563,15403.0,1753.3555
25,22.9637,15403.0,1755.668
26,23.1192,15403.0,1757.8516
27,22.8385,15403.0,1757.7188
28,22.778,15403.0,1757.7695
29,21.9647,15403.0,1753.6484
30,21.8449,15403.0,1753.6484
31,22.8208,15403.0,1753.6484
32,22.8637,15403.0,1753.6484
33,22.8894,15403.0,1754.1602
34,22.8123,15403.0,1753.2148
35,22.9548,15403.0,1758.1523
36,22.7561,15403.0,1758.0703
37,22.8435,15403.0,1758.0703
38,22.8467,15403.0,1758.0742
