epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,11.9032,4232.0,1724.5508
3,11.6492,4624.0,1732.6211
4,11.6462,4232.0,1740.168
5,11.8103,4842.0,1741.5703
6,15.321,4842.0,1743.4141
7,15.3174,4842.0,1746.4414
8,15.3049,5233.0,1748.5039
9,16.9401,5451.0,1747.7773
10,20.1908,5451.0,1750.1133
11,20.2845,5451.0,1750.1133
12,18.6719,5451.0,1750.1172
13,15.3615,4842.0,1755.7109
14,15.3787,4842.0,1755.6914
15,15.3687,4842.0,1751.7891
16,15.4042,4842.0,1749.6289
17,15.3807,4842.0,1749.6289
18,13.4646,4842.0,1749.6289
19,11.6503,4232.0,1749.6289
20,11.7257,4232.0,1749.6289
21,11.6796,4232.0,1749.6289
22,11.6339,4232.0,1749.6289
23,11.651,4232.0,1749.6289
24,11.6533,4232.0,1751.9492
25,11.6906,4232.0,1749.668
26,11.7042,4232.0,1749.668
27,11.6601,4232.0,1749.668
28,11.6631,4232.0,1749.668
29,11.6911,4232.0,1749.668
30,11.6569,4232.0,1749.668
31,11.6865,4232.0,1753.5586
