epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,389.057,15403.0,2581.0391
3,389.6828,15405.0,2599.8438
4,390.1469,15405.0,2607.0977
5,392.6864,15405.0,2607.1016
6,389.9947,15405.0,2607.1016
7,390.1728,15405.0,2607.1016
8,390.6391,15405.0,2607.1016
9,393.734,15405.0,2607.1016
10,391.5351,15405.0,2607.1016
11,390.2233,15405.0,2607.1016
12,390.8924,15405.0,2607.1016
13,392.7893,15405.0,2607.1016
14,393.9538,15405.0,2607.1016
15,390.505,15405.0,2607.1016
16,390.2062,15405.0,2607.1016
17,377.4816,15405.0,2607.1016
18,392.5785,15405.0,2607.1016
19,390.4308,15405.0,2607.1016
20,390.3325,15405.0,2607.1016
21,389.527,15405.0,2607.1016
22,392.34,15405.0,2607.1016
23,390.5026,15405.0,2607.1016
24,390.0679,15405.0,2607.1016
25,389.931,15405.0,2607.1016
26,393.0182,15405.0,2607.1016
27,389.9706,15405.0,2607.1016
28,390.7079,15405.0,2607.1016
29,389.9531,15405.0,2607.1016
30,392.5632,15405.0,2607.1016
31,389.7024,15405.0,2607.1016
32,390.1566,15405.0,2607.1016
33,389.604,15405.0,2607.1016
34,393.2937,15405.0,2607.1016
35,393.0018,15405.0,2607.1016
36,390.4383,15405.0,2607.1016
37,390.433,15405.0,2607.1016
38,390.708,15405.0,2607.1016
39,270.5982,8751.0,2607.1016
40,270.4627,8751.0,2607.1016
41,270.2065,8751.0,2607.1016
42,269.9742,8751.0,2607.1016
43,270.1011,8751.0,2607.6133
44,270.3007,8751.0,2608.3867
45,270.3316,8751.0,2608.9023
46,270.4588,8751.0,2608.9023
