epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,882.466,15505.0,2454.6992
3,880.5859,15507.0,2489.6445
4,880.159,15507.0,2489.6211
5,882.8031,15507.0,2489.6328
6,878.2968,15507.0,2489.6562
7,882.4796,15507.0,2494.2969
8,881.6977,15507.0,2494.2969
9,883.8273,15507.0,2494.2969
10,727.9707,15507.0,2494.3359
11,624.0374,12502.0,2494.3359
12,620.372,12502.0,2494.3359
13,623.1731,12502.0,2494.3359
14,623.1335,12502.0,2495.625
15,620.5599,12502.0,2497.1719
16,623.1058,12502.0,2497.1719
17,623.3379,12502.0,2497.1719
18,622.9131,12502.0,2497.1719
19,623.5795,12502.0,2497.1719
20,620.2761,12502.0,2497.1719
21,622.606,12502.0,2497.1719
22,622.8128,12502.0,2497.1719
23,509.2392,12502.0,2497.1719
24,407.9462,9202.0,2497.1719
25,407.8611,9202.0,2497.1719
26,407.8988,9202.0,2497.1719
27,407.6161,9202.0,2497.1719
28,407.5915,9202.0,2497.1719
29,407.713,9202.0,2497.1719
30,407.515,9202.0,2497.4297
31,407.6514,9202.0,2497.9453
32,407.8457,9202.0,2497.9453
33,407.5418,9202.0,2497.9453
34,407.8269,9202.0,2497.9453
35,407.6578,9202.0,2497.9453
36,407.7686,9202.0,2497.9453
37,407.6598,9202.0,2497.9453
38,407.7743,9202.0,2497.9453
39,407.7027,9202.0,2497.9453
40,407.6679,9202.0,2497.9453
41,407.8912,9202.0,2497.9453
42,407.612,9202.0,2497.9453
43,407.9332,9202.0,2497.9453
44,407.9222,9202.0,2497.9453
45,407.8217,9202.0,2497.9453
46,407.8522,9202.0,2497.9453
47,407.8009,9202.0,2497.9453
48,406.1834,9231.0,2497.9453
49,407.7962,9227.0,2497.9453
50,407.8199,9207.0,2497.9453
