epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,147.4601,3188.0,2410.9883
3,147.8585,3188.0,2429.5547
4,148.3798,3188.0,2429.4492
5,148.5856,3188.0,2433.2969
6,148.5647,3188.0,2434.8438
7,148.4019,3188.0,2434.8438
8,148.7276,3188.0,2435.6172
9,148.4451,3188.0,2435.6172
10,148.4167,3188.0,2435.6172
11,148.4924,3188.0,2435.6172
12,148.8278,3188.0,2435.6172
13,148.6564,3188.0,2437.1641
14,148.4362,3188.0,2437.1641
15,160.6045,6868.0,2437.4219
16,199.239,15503.0,2438.7109
17,302.7104,15505.0,2438.7148
18,303.1546,15505.0,2438.7578
19,299.8445,15507.0,2438.7578
20,303.0971,15507.0,2438.7578
21,304.888,15507.0,2438.7578
22,299.8375,15507.0,2438.7578
23,302.4476,15507.0,2438.7578
24,303.0652,15507.0,2438.7578
25,300.0965,15507.0,2438.7578
26,303.3296,15507.0,2438.7578
27,303.1543,15507.0,2438.7578
28,300.2006,15507.0,2438.7578
29,303.0805,15507.0,2438.7578
30,303.6793,15507.0,2438.7578
31,301.2388,15507.0,2438.7578
32,302.873,15507.0,2438.7578
33,302.7949,15507.0,2438.7578
34,300.708,15507.0,2438.7578
35,302.8882,15507.0,2438.7578
36,300.878,15507.0,2438.7578
37,303.0573,15507.0,2438.7578
38,302.8525,15507.0,2438.7578
39,299.78,15507.0,2438.7578
40,304.7681,15507.0,2438.7578
