epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,292.0176,15503.0,2564.9609
3,338.4571,15505.0,2587.3867
4,337.4919,15505.0,2587.2812
5,339.2066,15507.0,2587.5312
6,337.4877,15507.0,2587.5312
7,336.2003,15507.0,2587.5312
8,339.1759,15507.0,2587.5312
9,339.1361,15507.0,2587.5312
10,336.2822,15507.0,2587.5312
11,339.1504,15507.0,2587.5312
12,336.0817,15507.0,2587.5312
13,339.1353,15507.0,2587.5312
14,339.7882,15507.0,2587.5312
15,336.1116,15507.0,2587.5312
16,339.5724,15507.0,2587.5312
17,336.5215,15507.0,2590.625
18,339.3855,15507.0,2590.625
19,339.7173,15507.0,2594.75
20,336.6005,15507.0,2594.75
21,339.5969,15507.0,2594.75
22,336.8108,15507.0,2594.75
23,338.5874,15507.0,2594.75
24,258.6067,12502.0,2594.75
25,255.1218,12502.0,2594.75
26,258.5365,12502.0,2594.75
27,254.7993,12502.0,2594.75
28,258.8253,12502.0,2594.75
29,258.8263,12502.0,2594.75
30,255.5858,12502.0,2594.75
31,258.851,12502.0,2594.75
32,255.1498,12502.0,2594.75
33,258.6957,12502.0,2594.75
34,254.9789,12502.0,2594.75
35,258.8269,12502.0,2594.75
36,258.7371,12502.0,2594.75
37,255.6079,12502.0,2594.75
38,259.0421,12502.0,2594.75
39,254.9016,12502.0,2594.75
40,258.878,12502.0,2594.75
41,258.3378,12502.0,2594.75
42,257.9908,12502.0,2594.75
43,259.1415,12502.0,2594.75
44,255.3997,12502.0,2594.75
45,258.6936,12502.0,2594.75
46,255.3707,12502.0,2594.75
47,259.048,12502.0,2594.75
48,258.9464,12502.0,2594.75
49,255.0771,12502.0,2594.75
50,258.8885,12502.0,2594.75
51,255.0315,12502.0,2594.75
52,258.9103,12502.0,2595.2656
53,255.8983,12502.0,2595.2656
54,259.0713,12502.0,2595.2656
