epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,322.7392,15051.0,2411.2734
3,329.8833,15061.0,2426.0547
4,329.9025,15061.0,2429.6484
5,330.202,15061.0,2431.1992
6,330.5912,15061.0,2431.1992
7,330.5888,15061.0,2431.1992
8,330.9073,20778.0,2432.7461
9,330.3003,15061.0,2432.7461
10,329.9261,15061.0,2432.7461
11,463.0644,24128.0,2432.7461
12,463.7216,24128.0,2432.8086
13,462.4029,24140.0,2432.8086
14,462.9834,24140.0,2432.8086
15,458.8839,24188.0,2432.8086
16,460.7601,24147.0,2432.8086
17,461.9404,24146.0,2432.8086
18,460.596,24144.0,2433.582
19,463.1857,24144.0,2433.582
20,462.5413,24144.0,2433.582
21,459.965,24144.0,2433.582
22,463.1246,24144.0,2433.582
23,459.6957,24144.0,2433.582
24,464.3013,24144.0,2433.582
25,464.7962,24144.0,2434.3594
26,460.1884,24144.0,2434.3594
27,462.3978,24144.0,2434.3594
28,461.114,24144.0,2434.3594
29,441.9606,24144.0,2434.3594
30,415.7411,17081.0,2434.3594
31,413.3645,17091.0,2434.3594
32,424.1283,22700.0,2434.3594
33,423.6008,22699.0,2434.3594
34,423.3661,22697.0,2434.3594
35,424.9492,22698.0,2434.3594
36,424.1069,22697.0,2434.3594
37,425.6393,22735.0,2434.3594
38,425.1376,22725.0,2434.3594
39,422.1543,22745.0,2434.3594
40,425.0796,22727.0,2434.3594
41,422.1235,22737.0,2434.3594
42,425.1446,22727.0,2434.3594
43,424.4174,22725.0,2434.3594
44,422.0231,22700.0,2434.3594
45,406.7188,22724.0,2434.3594
46,309.3228,18656.0,2434.3594
47,312.1466,18656.0,2434.3594
