epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,189.6049,3895.0,2442.7773
3,190.0119,3897.0,2469.1641
4,190.4608,3897.0,2469.2188
5,190.6002,3897.0,2469.9727
6,190.6663,3897.0,2469.9727
7,190.4513,3897.0,2469.9727
8,190.481,3897.0,2469.9727
9,190.7099,3897.0,2469.9727
10,190.4772,3897.0,2469.9727
11,190.6837,3897.0,2469.9727
12,190.5533,3897.0,2469.9727
13,190.5412,3897.0,2471.0039
14,190.7539,3897.0,2472.5508
15,190.7009,3897.0,2472.5508
16,190.5236,3897.0,2472.5508
17,190.526,3897.0,2472.5508
18,190.8277,3897.0,2472.5508
19,191.0367,3897.0,2474.6133
20,190.6664,3897.0,2474.6133
21,190.4707,3897.0,2474.6133
22,190.3392,3897.0,2474.6133
23,190.4479,3897.0,2474.6133
24,190.3735,3897.0,2474.6133
25,190.8114,3897.0,2474.6133
26,190.6107,3897.0,2474.6133
27,190.5504,3897.0,2474.6133
28,190.3521,3897.0,2474.6133
29,190.4635,3897.0,2474.6133
30,190.3124,3897.0,2474.6133
31,190.7301,3897.0,2474.6133
32,190.6801,3897.0,2474.6133
33,190.5031,3897.0,2474.6133
34,190.549,3897.0,2474.6133
35,190.7424,3897.0,2474.6133
36,190.6885,3897.0,2474.6133
37,190.9043,3897.0,2474.6133
38,190.7133,3897.0,2474.6133
39,190.6127,3897.0,2474.6133
40,190.8507,3897.0,2474.6133
41,190.943,3897.0,2474.6133
