epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,10.0812,8750.0,1678.625
3,9.6468,8752.0,1743.5703
4,9.7256,8752.0,1793.8203
5,9.6981,8752.0,1796.7539
6,9.6712,8752.0,1797.4805
7,9.74,8752.0,1794.3867
8,9.7812,8752.0,1796.7578
9,9.7588,8752.0,1801.418
10,9.7288,8752.0,1802.6602
11,9.7301,8752.0,1805.2383
12,9.7285,8752.0,1807.2109
13,9.8261,8752.0,1807.1758
14,9.7386,9143.0,1807.2773
15,9.7763,8752.0,1807.2773
16,9.8825,9241.0,1807.2773
17,9.7602,9241.0,1809.5977
18,9.7358,8752.0,1811.7148
19,9.8226,8752.0,1812.5
20,9.7051,8752.0,1812.5
21,9.6384,8752.0,1812.5
22,9.6097,8752.0,1812.5
23,9.7645,8752.0,1812.5
