epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,348.4774,8753.0,2633.668
3,350.3862,8753.0,2652.625
4,350.4311,8753.0,2653.9219
5,350.709,8753.0,2653.9023
6,351.1338,8753.0,2656.1641
7,350.8604,8753.0,2656.0195
8,351.3263,8753.0,2657.8242
9,351.2604,8753.0,2658.082
10,350.9838,8753.0,2658.082
11,350.5479,8753.0,2658.082
12,350.8243,8753.0,2658.082
13,350.5064,8753.0,2658.082
14,350.8263,8753.0,2658.082
15,350.648,8753.0,2659.1133
16,351.4627,8753.0,2659.1133
17,351.3828,8753.0,2659.1133
18,350.975,8753.0,2659.1133
19,351.1085,8753.0,2659.1133
20,351.9257,8753.0,2660.4023
21,351.4071,8753.0,2660.4023
22,350.8838,8753.0,2660.4023
23,351.0834,8754.0,2660.4023
24,351.5619,8750.0,2660.4023
25,351.6236,8749.0,2660.6602
26,351.6636,8749.0,2660.6602
27,351.6054,8749.0,2661.1758
28,350.944,8749.0,2661.1758
29,350.7528,8749.0,2661.1758
30,351.3413,8749.0,2661.1758
31,351.2266,8749.0,2661.1758
32,350.9261,8749.0,2661.1758
33,351.5294,8749.0,2661.1758
34,351.3252,8749.0,2661.1758
35,351.2692,8749.0,2661.1758
36,351.5225,8749.0,2661.1758
37,351.3806,8749.0,2661.1758
38,350.8725,8749.0,2661.1758
