epoch,epoch_time_sec,peak_gpu_mem_mb,peak_cpu_ram_mb
2,152.5067,15680.0,2040.3008
3,152.3973,15680.0,2061.5859
4,152.8397,15680.0,2063.9141
5,152.9658,15680.0,2063.9141
6,152.6947,15680.0,2063.9141
7,150.1301,15680.0,2064.9453
8,153.1808,15680.0,2064.9453
9,152.4823,15680.0,2064.9453
10,152.6971,15680.0,2064.9453
11,152.4372,15680.0,2064.9453
12,152.9867,15680.0,2064.9453
13,153.0403,15680.0,2064.9453
14,152.4816,15680.0,2065.9766
15,152.921,15680.0,2066.4922
16,152.981,15680.0,2067.2656
17,152.712,15680.0,2067.2656
18,153.0209,15680.0,2068.0391
19,152.6779,15680.0,2068.5547
20,152.9569,15680.0,2068.5547
21,150.0014,15680.0,2068.5547
22,153.0661,15680.0,2068.5547
23,153.4246,15680.0,2070.1016
24,152.6267,15680.0,2070.1016
25,152.9429,15680.0,2070.1016
26,152.5655,15680.0,2070.1016
27,153.2329,15680.0,2070.3594
28,152.949,15680.0,2070.3594
29,152.8226,15680.0,2070.3594
30,152.7009,15680.0,2070.3594
31,153.1594,15680.0,2070.3594
32,153.4106,15680.0,2070.3594
33,152.9473,15680.0,2070.3594
34,153.1471,15680.0,2070.3594
